GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410527016,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,62.785,22259
410527017,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,59.295,22259
410527018,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,26.639,22259
410527333,1991-01-01T00:00:00.000Z,1991,,,FT,80,EN SERVICE,63.288,12763
410527334,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,1.879,22259
410527335,1991-01-01T00:00:00.000Z,1991,,,FT,200,EN SERVICE,150.884,12763
410527336,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,27.852,27738
410527337,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,84.145,22259
410527338,1991-01-01T00:00:00.000Z,1991,,,FT,200,EN SERVICE,27.589,12763
410527340,1991-01-01T00:00:00.000Z,1991,,,FTG,100,EN SERVICE,9.815,12763
410527341,1991-01-01T00:00:00.000Z,1991,,,FT,200,EN SERVICE,2.916,12763
410527342,1991-01-01T00:00:00.000Z,1991,,,FT,100,EN SERVICE,3.912,12763
410527343,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,14.546,27738
410527344,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,45.364,27738
410527345,1991-01-01T00:00:00.000Z,1991,,,FT,80,EN SERVICE,2.626,12763
410527346,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,50.598,27738
410527347,1991-01-01T00:00:00.000Z,1991,,,FTG,100,EN SERVICE,3.566,12763
410527348,2003-01-01T00:00:00.000Z,2003,,,FT,100,EN SERVICE,4.232,8380
410527349,1991-01-01T00:00:00.000Z,1991,,,FT,100,EN SERVICE,33.781,12763
410527350,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,51.553,27738
410527351,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,56.327,27738
410526412,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,8.108,22259
410526413,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,1.869,22259
410526414,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,185.788,6919
410526415,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,133.355,22259
410526416,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,75.339,22259
410526417,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,9.415,22259
410526418,1965-01-01T00:00:00.000Z,1965,,,BTM,50,EN SERVICE,7.533,22259
410526419,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,25.171,22259
410526420,2004-01-01T00:00:00.000Z,2004,,,FT,80,EN SERVICE,2.751,8015
410526421,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,3.638,22259
410526422,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,6.166,22259
410526423,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,64.672,22259
410526424,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,65.138,22259
410526425,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,68.382,22259
410526426,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,2.827,22259
410526427,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,137.009,22259
410526428,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,3.919,22259
410526430,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,3.04,22259
410526431,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,3.155,22259
410526432,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,4.3,22259
410526719,1988-01-01T00:00:00.000Z,1988,,,FT,250,EN SERVICE,36.465,13859
