GID,materiau,age_at_freeze,diametre,longueur,y_true,y_pred,y_score,prediction_type
410835241,FTVI,5.423682409308693,100.0,0.998,0,0,0.010312871302008452,TN
410835613,FT,5.138945927446954,150.0,7.745,0,0,0.033650915730115645,TN
410835244,FTVI,5.423682409308693,100.0,5.402,0,0,0.0026505897813070647,TN
410835246,FT,5.423682409308693,100.0,5.709,0,0,0.03262060659693796,TN
410835614,FT,5.138945927446954,150.0,14.32,0,0,0.01911885420402625,TN
410835615,FTVI,5.138945927446954,150.0,2.491,0,0,0.008360775991909064,TN
410835616,FTVI,5.138945927446954,150.0,2.27,0,0,0.008360775991909064,TN
410836086,FT,7.40041067761807,100.0,18.009,0,0,0.0111806705651585,TN
410836087,FTVI,7.40041067761807,100.0,11.289,0,0,0.001129000006883407,TN
410836088,FTVI,7.40041067761807,150.0,6.429,0,0,0.0008782116464455654,TN
410838946,FTVI,4.640657084188912,150.0,0.886,0,0,0.008437858331492005,TN
410838947,FT,4.640657084188912,150.0,0.679,0,0,0.06141962996695607,TN
410838974,FTG,74.84736481861738,150.0,39.967,0,1,0.7313092435603402,FP
410838975,FTG,74.84736481861738,150.0,1.477,0,1,0.8349181769095191,FP
416005037,FT,4.117727583846681,150.0,2.2,0,0,0.3555421254403201,TN
416005038,POLY,53.84804928131417,50.0,88.756,0,0,0.25336404601272766,TN
410933977,FTG,64.84873374401096,200.0,10.831,0,1,0.6830113904793945,FP
416005092,ACIE,33.84804928131417,100.0,79.245,0,0,0.012074270213994319,TN
410933978,FTG,64.84873374401096,200.0,127.504,0,0,0.3813208794590661,TN
410933989,FT,54.847364818617386,150.0,80.396,0,1,0.6043393689648786,FP
410841706,FTVI,5.188227241615332,100.0,3.326,0,0,0.01030422722653884,TN
410841707,FTVI,5.188227241615332,100.0,1.599,0,0,0.022533408911670216,TN
410841708,FT,5.188227241615332,80.0,0.437,0,0,0.22194808943938202,TN
410841709,FTVI,5.188227241615332,100.0,4.875,0,0,0.004573224676679018,TN
410841710,FT,5.188227241615332,100.0,0.552,0,0,0.07338592326340228,TN
410841711,FT,5.188227241615332,80.0,0.899,0,0,0.11155248146181412,TN
410841814,FT,4.851471594798084,150.0,41.469,0,0,0.010634639143777406,TN
410853748,FT,3.9397672826830936,100.0,23.992,0,0,0.19221715509591966,TN
410842229,FT,56.84873374401095,150.0,19.519,0,1,0.5205518124318508,FP
410842230,FT,56.84873374401095,150.0,4.082,0,1,0.5369569178263349,FP
410072822,FT,38.847364818617386,60.0,33.347,0,0,0.11640346698834346,TN
410842233,FT,52.84873374401095,150.0,12.809,0,1,0.8549957839327897,FP
410842234,FT,52.84873374401095,150.0,6.861,0,1,0.8688155530640028,FP
410934468,FT,31.849418206707735,100.0,206.573,0,0,0.02329127887830512,TN
410853750,FT,3.9397672826830936,100.0,6.08,0,0,0.11614787860937437,TN
410853803,FT,3.353867214236824,250.0,10.325,0,0,0.006479116637630735,TN
