GID,materiau,age_at_freeze,diametre,longueur,y_proba
410003034,POLY,63.84941820670773,36.0,10.453,0.6182294868723104
410003037,FTG,74.84736481861738,150.0,36.968,0.7258627189553304
410003038,FTG,74.84736481861738,150.0,26.949,0.7056186756455672
410003040,FTG,74.84736481861738,150.0,172.343,0.5561458544318622
410003042,FTG,74.84736481861738,150.0,35.657,0.7258627189553304
410852022,FTG,63.84941820670773,150.0,0.395,0.9317571962340546
410001853,FT,39.84941820670773,100.0,2.2,0.8399153612243041
410001865,FTG,74.84736481861738,150.0,35.933,0.7258627189553304
410001866,FT,55.84941820670773,150.0,5.028,0.7615089305373596
410001870,FT,55.84941820670773,150.0,11.867,0.7567274318482925
410001871,FT,55.84941820670773,150.0,50.53,0.8230564277488951
410002285,FTG,74.84736481861738,250.0,6.846,0.8025557003423582
410002288,FTG,74.84736481861738,250.0,78.8,0.6512222879923643
410002289,FTG,74.84736481861738,250.0,46.312,0.8224122916532379
410002290,FTG,74.84736481861738,80.0,11.527,0.6066507959923773
410002291,FTG,74.84736481861738,80.0,16.677,0.7544942376223477
410002292,FTG,74.84736481861738,80.0,3.969,0.8116467203464708
410002293,FTG,74.84736481861738,250.0,37.819,0.8297331408558661
410002294,FTG,74.84736481861738,100.0,9.534,0.685227979153597
410002295,FTG,74.84736481861738,100.0,7.343,0.5174796651959782
410002296,FTG,74.84736481861738,100.0,13.981,0.5443747509461595
410002300,FTG,74.84736481861738,150.0,7.71,0.701800462912979
410002301,FTG,74.84736481861738,150.0,131.1,0.5865545008700558
410002685,FTG,63.84941820670773,250.0,3.487,0.6954377517275986
410002686,FTG,63.84941820670773,250.0,9.253,0.5721179602895655
410002687,FTG,63.84941820670773,250.0,5.001,0.7204833133826243
410002696,POLY,63.84941820670773,36.0,4.745,0.5048157530217322
410002702,FTG,74.84736481861738,150.0,14.304,0.6268338464090998
410922392,FT,40.84873374401095,150.0,0.782,0.7115521126255135
410922393,FT,40.84873374401095,150.0,0.687,0.7656279022536684
410001458,FT,60.84873374401095,80.0,39.435,0.6491257844862937
410001461,FT,59.84941820670773,100.0,54.943,0.6867874124131335
410001462,FT,59.84941820670773,100.0,46.321,0.6690053023078079
410002309,FTG,74.84736481861738,60.0,6.734,0.8289059962516387
410002313,FTG,74.84736481861738,60.0,86.173,0.6680480418230585
410002314,FTG,74.84736481861738,60.0,40.195,0.824396864055863
410002315,POLY,63.84941820670773,36.0,8.939,0.6050802625497508
410002324,FTG,74.84736481861738,150.0,8.714,0.683023527006364
410002326,FTG,74.84736481861738,150.0,9.279,0.7064607382523085
410002327,FTG,74.84736481861738,200.0,44.449,0.5356598661030747
410002328,FT,58.847364818617386,100.0,38.527,0.5388662494073013
410002329,FT,60.84873374401095,150.0,17.753,0.5722398861985069
410002714,FT,56.84873374401095,100.0,6.328,0.5151640435640573
410002715,FT,56.84873374401095,100.0,5.566,0.5151640435640573
410002722,FT,57.84804928131417,200.0,19.172,0.5755293199966383
410002724,FT,57.84804928131417,200.0,4.191,0.5775321798842009
410002726,FT,57.84804928131417,100.0,81.257,0.5959958620406001
410002727,FT,57.84804928131417,100.0,64.044,0.5198093072383634
410002729,FT,60.84873374401095,150.0,5.854,0.5274385617984498
410002730,FT,60.84873374401095,150.0,8.22,0.5334675195171923
410001484,FTG,74.84736481861738,100.0,56.732,0.6768130753832902
410001486,FT,59.84941820670773,300.0,5.887,0.513865241635534
410001915,FT,34.847364818617386,150.0,3.377,0.7878649591287087
410001922,FT,35.84941820670773,100.0,2.116,0.8406344835499494
410002338,FTG,74.84736481861738,150.0,21.123,0.6988412782815129
410002339,FTG,74.84736481861738,150.0,18.639,0.7024713616167947
410002340,FT,60.84873374401095,100.0,23.935,0.7446029732980461
410002341,FTG,74.84736481861738,150.0,3.028,0.8744772232517785
410002342,FTG,74.84736481861738,150.0,15.973,0.7024713616167947
410002343,FT,60.84873374401095,150.0,3.02,0.7304219059169134
410002357,FTG,63.84941820670773,150.0,6.925,0.7676921369314192
410002734,FTG,74.84736481861738,80.0,15.382,0.7251571760921063
410002737,FTG,74.84736481861738,100.0,22.624,0.6364225429526816
410002738,FTG,74.84736481861738,100.0,11.222,0.5785423729506547
410002744,FTG,74.84736481861738,120.0,48.656,0.8132726504686663
410002745,FTG,74.84736481861738,120.0,67.968,0.5513124844759857
410002747,FTG,74.84736481861738,120.0,1.463,0.9090828762897009
410002749,FTG,74.84736481861738,100.0,4.921,0.6853505030664284
410002757,FTG,74.84736481861738,100.0,7.21,0.6975077883116535
410001492,FTG,74.84736481861738,100.0,3.082,0.7528130040693441
410001508,FTG,74.84736481861738,150.0,76.197,0.5185382098851978
410001937,FTG,74.84736481861738,100.0,14.274,0.5443747509461595
410001939,FTG,74.84736481861738,80.0,71.581,0.7453417117656715
410001942,FTG,74.84736481861738,100.0,9.276,0.686502664658831
410001946,FTG,65.84804928131418,125.0,2.625,0.8790217533161666
410002368,FT,53.84804928131417,300.0,31.698,0.6228743084460416
410002372,FTG,74.84736481861738,100.0,31.797,0.6385270248533501
410002373,FTG,74.84736481861738,100.0,43.36,0.5292635908564339
410002374,FTG,74.84736481861738,100.0,6.269,0.6395841722140418
410002375,FTG,74.84736481861738,100.0,4.133,0.8115715310570643
410002377,FT,39.84941820670773,100.0,4.296,0.7250897447696324
410002758,FTG,74.84736481861738,100.0,9.6,0.685227979153597
410001958,FTG,65.84804928131418,125.0,6.634,0.7653201673376454
