GID,materiau,age_at_freeze,diametre,longueur,y_proba
410812852,FTG,74.84736481861738,100.0,321.063,0.052395966462542
410961501,FT,7.526351813826146,80.0,2.641,0.166943111861715
410961502,FT,7.526351813826146,80.0,4.098,0.4884503875231428
410823053,FT,45.84804928131417,100.0,6.718,0.44855469322860314
410819273,FT,6.537987679671458,300.0,2.588,0.15826632078269245
410051704,FTG,74.84736481861738,100.0,71.141,0.4718396926713985
410959473,FTG,118.84736481861738,100.0,58.149,0.4825077036132626
410959031,FT,53.84804928131417,200.0,107.202,0.30471833026350664
410832013,FTG,58.75975359342916,100.0,105.331,0.44774568011817867
410952556,FTVI,17.848049281314168,400.0,2.072,0.00795083360340862
410842709,FT,5.4428473648186175,150.0,0.971,0.3896179076875734
410842710,FT,5.4428473648186175,150.0,0.887,0.3493476117119699
410961125,FT,39.84941820670773,100.0,6.098,0.39039939362638826
410839565,BTM,51.84941820670773,600.0,7.407,0.02678666076890482
410963259,FTG,64.84873374401096,250.0,114.325,0.1573858754890315
410951325,FTG,73.84804928131418,100.0,114.886,0.41234390155168404
410847982,PEHD,6.72416153319644,63.0,0.974,0.05069467756792936
410847983,PEHD,6.72416153319644,63.0,0.487,0.08522863919846747
410859507,FT,8.56125941136208,100.0,2.419,0.24685832411787084
410855595,POLY,123.8466803559206,63.0,10.93,0.008187099434504262
410858793,FT,2.702258726899384,100.0,12.139,0.016434463550469316
410912643,FTG,73.84804928131418,60.0,8.822,0.4809565949010673
410959178,FTVI,2.1820670773442847,200.0,1.105,0.39576149513044273
410917151,FT,53.84804928131417,80.0,96.505,0.16206436126069557
410916790,FT,53.84804928131417,80.0,7.113,0.4076053299213384
410916787,FT,53.84804928131417,80.0,10.957,0.34807204067610337
410928392,FT,12.848733744010952,100.0,4.838,0.16084832499964727
410927607,FT,58.847364818617386,100.0,116.715,0.45382191757502055
410914319,FT,25.848049281314168,125.0,32.654,0.24892153266264647
410957055,FTG,123.8466803559206,100.0,5.237,0.3434207964022118
410962450,FT,7.011635865845311,100.0,0.621,0.48177835028781507
410956900,FTG,53.84804928131417,100.0,9.736,0.2920274138880714
410951985,FT,38.847364818617386,150.0,20.928,0.2554967922059549
410950863,FT,34.847364818617386,200.0,8.712,0.08939948866418579
410957052,FTG,123.8466803559206,100.0,55.33,0.25785205406673917
410954354,FT,24.84873374401095,100.0,11.632,0.325662705162759
410957903,FT,13.848049281314168,100.0,5.942,0.1939298623594459
410952390,FTG,123.8466803559206,80.0,30.165,0.25073365750750387
410960497,FT,12.848733744010952,150.0,2.451,0.4645899180368034
410952391,FTG,123.8466803559206,80.0,4.749,0.2767204104055977
410952392,FTG,123.8466803559206,80.0,6.762,0.3066579798876528
410952394,FTG,123.8466803559206,80.0,8.797,0.3462322633934993
410952395,FTG,123.8466803559206,80.0,54.852,0.18579124002753847
410961536,FT,9.352498288843258,100.0,1.793,0.483505311451623
410964785,FT,17.848049281314168,100.0,11.503,0.21310560600679268
410959561,FT,43.84941820670773,150.0,287.898,0.022722128789225762
410959982,FT,34.847364818617386,100.0,4.357,0.4421597031274301
410959909,FT,48.84873374401095,100.0,5.398,0.4671338735926987
410946935,FT,6.584531143052704,300.0,6.998,0.02497863668536468
410955476,FT,24.84873374401095,80.0,29.871,0.35928290809773117
410955483,FT,24.84873374401095,80.0,24.281,0.1896781152361771
410955485,FT,24.84873374401095,80.0,28.848,0.28789166161479623
410942352,FTG,53.84804928131417,150.0,68.156,0.16959736842060544
410955504,FT,44.84873374401095,150.0,14.406,0.38836590772137736
410962177,PVC,53.84804928131417,110.0,108.041,0.23982784420587003
410959281,FTG,48.84873374401095,60.0,26.388,0.36037024780845256
410956276,FT,13.848049281314168,150.0,16.396,0.32186455232593864
410962139,POLY,31.849418206707735,50.0,30.5,0.22895771500226922
410962150,FT,18.847364818617386,60.0,4.048,0.42238514516566683
410952834,FT,38.847364818617386,150.0,10.776,0.27959121264305314
410934491,FT,15.31006160164271,100.0,6.657,0.498107537743847
410960790,FT,13.848049281314168,150.0,2.158,0.35857592675240224
410960791,FT,13.848049281314168,150.0,2.923,0.42638039183679216
410959012,FT,6.078028747433265,100.0,1.802,0.11535341200218807
410961059,FTG,74.84736481861738,100.0,122.024,0.29068773161129274
410961072,FT,16.84873374401095,250.0,177.973,0.07089594358641715
410945774,FTG,74.84736481861738,40.0,6.379,0.45996405287822895
410962253,FT,24.84873374401095,80.0,41.843,0.35066043235794436
410962260,FT,24.84873374401095,80.0,5.265,0.3871346212718639
410945775,FTG,74.84736481861738,40.0,70.489,0.3836692470702704
410944433,FT,53.84804928131417,100.0,6.011,0.48723258949903275
410955178,FT,45.84804928131417,100.0,50.828,0.23630405837347856
410955179,FT,45.84804928131417,100.0,49.644,0.2184717615274109
410955180,FT,45.84804928131417,100.0,49.955,0.28288920953410507
410958605,FT,46.847364818617386,150.0,81.793,0.36811153705547855
410962275,FT,47.84941820670773,100.0,159.902,0.38048163911346566
